Number of ways, memGen1, memGen2, memGen3, memGen4, memGen5, memGen6
1,96.8750000000,66.6057000000,0.0228000000,99.9872000000,96.8750000000,0.0000000000
2,96.8750000000,66.6539000000,0.0235000000,99.9872000000,96.8750000000,0.0000000000
4,96.8750000000,66.6808000000,0.0243000000,99.9872000000,96.8750000000,0.0000000000
8,96.8750000000,66.5615000000,0.0247000000,99.9872000000,96.8750000000,0.0000000000
16,96.8750000000,66.6690000000,0.0265000000,99.9872000000,96.8750000000,0.0000000000
