Line Size, memGen1, memGen2, memGen3, memGen4, memGen5, memGen6
16,93.7500000000,66.5758000000,0.0253000000,99.9744000000,93.7500000000,0.0000000000
32,96.8750000000,66.6452000000,0.0220000000,99.9872000000,96.8750000000,0.0000000000
64,98.4375000000,66.7420000000,0.0231000000,99.9936000000,98.4375000000,49.9999000000
128,99.2187000000,66.6517000000,0.0243000000,99.9968000000,99.2187000000,74.9999000000
